Date,GHI_daily_mean,DNI_daily_mean,DHI_daily_mean
2021-12-08,242.98395833333336,241.69173611111108,85.69222222222223
2021-12-09,243.99152777777778,222.23152777777779,95.22874999999999
2021-12-10,224.91152777777776,166.5413888888889,114.53166666666667
2021-12-11,210.40208333333334,120.39180555555556,128.8173611111111
2021-12-12,211.45770833333333,149.0676388888889,112.75458333333334
2021-12-13,231.16958333333335,253.5858333333333,65.185
2021-12-14,228.33791666666664,230.39055555555558,78.86965277777777
2021-12-15,194.65909722222221,117.5186111111111,115.16020833333334
2021-12-16,241.98854166666666,244.36201388888887,84.153125
2021-12-17,239.6488888888889,258.7311111111111,67.94145833333333
2021-12-18,226.76895833333333,172.9492361111111,108.42291666666667
2021-12-19,235.6751388888889,217.99902777777777,90.36583333333334
2021-12-20,229.40854166666665,165.84493055555555,116.72569444444444
2021-12-21,235.656875,266.5154166666667,62.73888888888889
2021-12-22,223.44770833333334,124.32708333333333,134.22555555555556
2021-12-23,249.25034722222222,299.32625,57.902430555555554
2021-12-24,227.10569444444445,246.5417361111111,67.09041666666667
2021-12-25,227.67458333333335,231.66159722222224,75.02875
2021-12-26,237.67583333333334,251.82131944444444,74.45652777777778
2021-12-27,244.67381944444443,267.56125000000003,69.89444444444445
2021-12-28,188.0417854463616,216.80772693173293,60.75678919729933
2021-12-29,238.99993055555558,251.2967361111111,73.52097222222223
2021-12-30,215.22905355832722,289.2169479090242,41.36500366837858
2021-12-31,241.55180555555555,268.9975,64.22895833333334
2022-01-01,243.29652777777778,284.99631944444445,58.73277777777778
2022-01-02,238.91293463143253,256.86112656467316,69.06265646731572
2022-01-03,93.21952744961779,1.1517025712300208,94.86441973592773
2022-01-04,156.23427362482371,28.80394922425952,135.12172073342737
2022-01-05,228.81291666666664,172.17090277777777,105.8748611111111
2022-01-06,226.86333333333334,174.01354166666667,105.76625
2022-01-07,217.84381944444442,154.8542361111111,112.10020833333333
2022-01-08,222.62215277777779,185.32055555555553,95.64840277777779
2022-01-09,241.42256944444443,271.51465277777777,63.31298611111111
2022-01-10,232.79743055555554,218.69111111111113,84.54270833333334
2022-01-11,228.42562500000003,213.18388888888887,86.12722222222222
2022-01-12,234.18472222222223,204.84756944444445,96.91777777777779
2022-01-13,155.09300244100893,228.500081366965,33.15012205044752
2022-01-14,249.91743055555554,278.46965277777775,69.16055555555555
2022-01-15,248.98643710470836,294.16050597329587,62.70477863668306
2022-01-16,242.2387784090909,257.0277698863636,68.55546875
2022-01-17,157.48046153846155,170.94792307692308,57.851461538461535
2022-01-18,256.59250000000003,263.0047916666667,78.07472222222222
2022-01-19,245.68909722222222,174.96680555555557,121.6842361111111
2022-01-20,263.3352777777778,248.32666666666668,94.00055555555555
2022-01-21,265.32729166666667,207.14680555555557,118.99194444444444
2022-01-22,256.46916666666664,183.8563888888889,125.25361111111111
2022-01-23,262.945,310.8909722222222,57.79729166666667
